members,description
จอห์นนี่,เป็นสมาชิกของ nct u
จอห์นนี่,เป็นสมาชิกของ nct 
จอห์นนี่,ชื่อจริง (เกาหลี) : Seo Young Ho (서영호) (ซอ ยองโฮ)
จอห์นนี่,เกิดวันที่ 9 กุมภาพันธ์ 1995
จอห์นนี่,เกิดที่ชิคาโก สหรัฐอเมริกา
จอห์นนี่,"ตำแหน่ง : นักเต้นนำ , นักร้องเสริม , แร็ปเปอร์เสริม"
จอห์นนี่,เข้าร่วมเป็นเด็กฝึกผ่านการออดิชั่น SM Global Audition in Chicago เมื่อปี 2007
จอห์นนี่,"เดบิวต์วันที่ 7 กรกฎาคม 2016 กับ nct 127 ด้วยซิงเกิ้ลแรก ""Fire Truck"""
จอห์นนี่,ศิลปินโปรดคือ Coldplay
จอห์นนี่,เป็น DJ
จอห์นนี่,"อาหารที่ชอบ: พิซซ่า, เบอร์เกอร์, สเต็ก"
จอห์นนี่,"อาหารเกาหลีที่ชอบ: ซัมกยอบซัล (หมูย่างเกาหลี), รามยอน"
จอห์นนี่,เครื่องดื่มที่ชอบ: กาแฟ
ยูตะ,เป็นสมาชิกของ nct127
ยูตะ,เป็นสมาชิกของ nct u
ยูตะ,เป็นสมาชิกของ nct 
ยูตะ,"เดบิวต์วันที่ 7 กรกฎาคม 2016 กับ nct 127 ด้วยซิงเกิ้ลแรก ""Fire Truck"""
ยูตะ,ชื่อจริง : Nakamoto Yuta (中本悠太) (นากาโมโตะ ยูตะ)
ยูตะ,เกิดวันที่ 26 ตุลาคม 1995
ยูตะ,"ตำแหน่ง : นักเต้นนำ , นักร้องเสริม , แร็ปเปอร์เสริม"
ยูตะ,เกิดที่โอซากา ประเทศญี่ปุ่น 
ยูตะ,ความสามารถพิเศษคือการเต้น และกีฬาฟุตบอล
ยูตะ,"มีเมนูโปรดหลายอย่าง เช่น แตงโม , ทาโกะยากิ , ต็อกโบกี , ข้าวผัดปู และเค้กชาเขียว"
ยูตะ,ศิลปินวงโปรดคือ One Ok Rock
ยูตะ,ปีที่เข้าเป็นเด็กฝึก: 2012 (ผ่านออดิชันของ SM Japan)
ยูตะ,เป็นเมมเบอร์ชาวญี่ปุ่นคนแรกของ SM Entertainment
ยูตะ,ไม่ชอบที่แคบ
ยูตะ,เจ้าชายโอซาก้า เจ้าชายทาโกยากิ
ยูตะ,เคยฝันว่าอยากเป็นนักฟุตบอล
ยูตะ,แสดงภาพยนต์ HiGH&LOW THE WORST X (CROSS)
ยูตะ,โซโล่เดบิวต์ที่ญี่ปุ่น
โดยอง,เป็นสมาชิกของ nct127
โดยอง,เป็นสมาชิกของ nct u
โดยอง,เป็นสมาชิกของ nct 
โดยอง,เป็นสมาชิกของ NCT DOJAEJUNG
โดยอง,"เดบิวต์วันที่ 9 เมษายน 2016 กับ nct u ด้วยซิงเกิ้ลแรก ""The 7th Sense"""
โดยอง,ชื่อจริง : Kim Dong Young (김동영) (คิม ดงยอง)
โดยอง,เกิดวันที่ 1 กุมภาพันธ์ 1996
โดยอง,ตำแหน่ง : นักร้องหลัก
โดยอง,เกิดที่กรุงโซล เกาหลีใต้
โดยอง,"อาหารที่ชอบคือ ขนมปังครีมชีส , แตงโม , ป๊อปคอร์น , ขนมที่มีรสมะม่วง , 
พีช , ไวท์ ช็อกโกแลต และหม้อไฟ"
โดยอง,ศิลปินที่ชอบคือ Eric Benet
โดยอง,เคยเป็นพิธีกรรายการของโรงเรียนตอนมัธยม
โดยอง,ปีที่เข้าเป็นเด็กฝึก: 2013
โดยอง,เป็นเมมเบอร์ที่ถูกเพิ่มเข้ามาใน NCT 127 หลังเดบิวต์
โดยอง,เป็นหนึ่งในเมมเบอร์ที่ได้เดบิวต์เร็วที่สุดของ NCT
โดยอง,เป็นเมมเบอร์ที่โดดเด่นเรื่องเสียงร้องมากที่สุดของวง
โดยอง,เคยเป็นพิธีกรรายการเพลง: Inkigayo (2017-2018)
โดยอง,"เป็นนักแสดงละครเวทีเรื่อง ""Marie Antoinette"" (2021)"
โดยอง,"เคยเล่นซีรีส์เรื่อง ""Dear X Who Doesn’t Love Me"" (2022)"
โดยอง,อาหารที่ไม่ชอบ: แตงกวา
โดยอง,อากุงปัง
โดยอง,มีอัลบั้มเดี่ยวอัลบั้มแรก ‘YOUTH’ 
แจฮยอน,เป็นสมาชิกของ nct127
แจฮยอน,เป็นสมาชิกของ nct u
แจฮยอน,เป็นสมาชิกของ nct 
แจฮยอน,เป็นสมาชิกของ NCT DOJAEJUNG
แจฮยอน,"เดบิวต์วันที่ 9 เมษายน 2016 กับ nct u ด้วยซิงเกิ้ลแรก ""The 7th Sense"""
แจฮยอน,ชื่อจริง : Jung Yoon Oh (정윤오) (จอง ยุนโอ)
แจฮยอน,เกิดวันที่ 14 กุมภาพันธ์ 1997
แจฮยอน,"ตำแหน่ง : นักร้องหลัก , นักเต้นนำ , แร็ปเปอร์เสริม และภาพลักษณ์ของวง"
แจฮยอน,เกิดที่กรุงโซล เกาหลีใต้
แจฮยอน,เรียนที่ Seoul School of Performing Arts
แจฮยอน,"อาหารที่ชอบของแจฮยอน ได้แก่ เนื้อ , หมูที่มีรสเผ็ด , พีช และไอศกรีมชาเขียว"
แจฮยอน,ศิลปินคนโปรดคือ IU
แจฮยอน,วาเลนไทน์บอย
แจฮยอน,ปีที่เข้าเป็นเด็กฝึก: 2013
แจฮยอน,Prince of NCT
แจฮยอน,เคยเป็นพิธีกรรายการ Inkigayo (2019-2021)
แจฮยอน,"เคยคัฟเวอร์เพลง ""I Like Me Better"" ของ Lauv"
แจฮยอน,"เป็นนักแสดงในซีรีส์ ""Dear M"" (2024)"
แจฮยอน,อาหารที่ชอบ: อาหารเกาหลีทุกอย่าง โดยเฉพาะเนื้อย่าง
แจฮยอน,เคยได้รับเลือกให้เป็น Global Ambassador ของ PRADA
